corpus	sent_id	left	node	right	node_sentences	usage
ind_mixed_2012_1M	318267	Ia tidak menilai seseorang dari pakaian yang	dikenakan	nya, tapi pada pribadi yang ada di baliknya.	Ia tidak menilai seseorang dari pakaian yang <m>dikenakan</m>nya, tapi pada pribadi yang ada di baliknya.	wear
ind_mixed_2012_1M	631895	Allah tidak menilai seseorang dari pakaian yang	dikenakan	nya, tapi pada pribadi yang ada dibaliknya.	Allah tidak menilai seseorang dari pakaian yang <m>dikenakan</m>nya, tapi pada pribadi yang ada dibaliknya.	wear
ind_mixed_2012_1M	476408	Dalam pakaian seperti itu dan tanpa sepatu hak tinggi, tubuh Denita terlihat mungil dan dengan bandana berwarna pink yang	dikenakan	nya, wajahnya terlihat lebih muda (tepatnya terlihat sesuai dengan usianya).	Dalam pakaian seperti itu dan tanpa sepatu hak tinggi, tubuh Denita terlihat mungil dan dengan bandana berwarna pink yang <m>dikenakan</m>nya, wajahnya terlihat lebih muda (tepatnya terlihat sesuai dengan usianya).	wear
ind_mixed_2012_1M	41021	Nafas Diah tersentak ketika dengan cepat si Tato dengan pisaunya melucuti BH dan celana jeans yang	dikenakan	nya.	Nafas Diah tersentak ketika dengan cepat si Tato dengan pisaunya melucuti BH dan celana jeans yang <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	78164	Saat menuruni anak tangga yang menuju ke ruang tengah, dia merasa bagaikan seorang putri, dan ini bukan hanya karena ‘pakaian’ yang	dikenakan	nya.	Saat menuruni anak tangga yang menuju ke ruang tengah, dia merasa bagaikan seorang putri, dan ini bukan hanya karena ‘pakaian’ yang <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	97811	Beberapa saat sebelum keberangkatan rombongan pria ke rumah mempelai perempuan, Lies sempat melihat Soeharto meminta seorang anggota panitia membenahi sarung ala Minang yang	dikenakan	nya.	Beberapa saat sebelum keberangkatan rombongan pria ke rumah mempelai perempuan, Lies sempat melihat Soeharto meminta seorang anggota panitia membenahi sarung ala Minang yang <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	98604	” Kata Rasat sambil menunjukan baju dan celana yang tadi	dikenakan	nya.	” Kata Rasat sambil menunjukan baju dan celana yang tadi <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	166312	“Tunggu Tante” sambil merapikan pakaiannya yang sudah	dikenakan	nya.	“Tunggu Tante” sambil merapikan pakaiannya yang sudah <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	217912	St. Fransiskus menggunting rambutnya dan memberinya sehelai jubah coklat kasar untuk	dikenakan	nya.	St. Fransiskus menggunting rambutnya dan memberinya sehelai jubah coklat kasar untuk <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	244330	Wajah Santi tampak tersenyum di balik tudung jubah besar yang	dikenakan	nya.	Wajah Santi tampak tersenyum di balik tudung jubah besar yang <m>dikenakan</m>nya.	wear
